Date,Time,MC%,Drop,Co_9-16_mm
3/23/2019,16:10,9,7.08,
3/23/2019,21:45,8.9,5.33,
3/23/2019,21:45,8.8,5.17,
3/23/2019,21:45,8.7,5.33,
3/23/2019,9:45,8.9,4.17,
3/23/2019,13:45,9.5,5,
3/23/2019,13:45,9,4.5,
3/23/2019,16:10,9.4,5.5,
3/23/2019,17:45,8.6,5.42,
3/23/2019,17:45,8.9,4.5,
3/23/2019,17:45,8.9,5.17,
3/23/2019,19:45,8.4,3.5,
3/23/2019,19:45,8.7,4.75,
3/23/2019,19:45,8.7,3.5,
3/24/2019,3:45,9.3,5.58,
3/24/2019,3:45,9.3,5.58,
3/24/2019,5:45,8.9,5.33,
3/24/2019,5:45,9.2,4.92,
3/24/2019,5:45,9.1,4.08,
3/24/2019,9:45,9,4.08,
3/24/2019,9:45,8.8,4,
3/24/2019,13:45,8.3,4.33,
3/24/2019,13:45,8.4,3.92,
3/24/2019,15:45,8.5,5.67,
3/24/2019,21:45,9,4.92,
3/24/2019,21:45,8.8,5.25,
3/24/2019,23:45,8.6,4.58,
3/24/2019,23:45,8.7,3.92,
3/25/2019,1:45,8.6,4.83,
3/25/2019,1:45,8.5,5.67,
3/25/2019,1:45,8.7,5.33,
3/25/2019,3:45,8.9,3.92,
3/25/2019,5:45,9.1,5.67,
3/25/2019,7:45,8.7,2.83,
3/25/2019,15:45,8.7,5.25,
3/25/2019,15:45,8.9,4.75,
3/25/2019,15:45,8.7,4.75,
3/25/2019,17:45,8.5,4.67,
3/25/2019,17:45,8.6,4.25,
3/25/2019,17:45,8.8,3.75,
3/25/2019,19:45,8.9,4.92,
3/25/2019,19:45,8.9,4.67,
3/25/2019,19:45,9.2,5.17,
3/25/2019,23:45,8.7,3.67,
3/26/2019,1:45,8.8,4.83,
3/26/2019,1:45,8.9,5.25,
3/26/2019,3:45,9,3.58,
3/26/2019,3:45,8.8,5,
3/26/2019,3:45,9,4.17,
3/26/2019,9:45,9,4,
3/26/2019,9:45,9,4.75,
3/26/2019,9:45,9,4.83,
3/26/2019,13:45,9,3.92,
3/26/2019,13:45,8.7,4.17,
3/26/2019,13:45,9,3.67,
3/26/2019,17:45,8.7,5.67,
3/26/2019,19:50,,,
3/26/2019,19:45,8.8,4.83,
3/26/2019,21:45,9.3,6.67,
3/26/2019,21:45,9.3,7.67,
3/26/2019,21:45,9.4,7.33,
3/26/2019,23:45,8.7,4.75,
3/26/2019,23:45,8.7,3.5,
3/27/2019,1:45,8.9,6.5,
3/27/2019,5:45,9.4,5.25,
3/27/2019,7:45,8.9,5.17,
3/27/2019,7:45,8.9,5.08,
3/27/2019,11:45,9,3.67,
3/27/2019,11:45,9,3.92,
3/27/2019,13:40,8.8,4,
3/27/2019,13:40,8.8,4,
3/27/2019,15:45,8.5,3.08,
3/27/2019,19:45,8.7,4.42,
3/27/2019,21:45,8.8,4.42,
3/27/2019,21:45,8.8,4.58,
3/27/2019,23:35,8.6,4.58,
3/28/2019,1:45,8.9,6.67,
3/28/2019,3:45,9.1,6.67,
3/28/2019,5:45,8.8,5.08,
3/28/2019,5:45,9.3,5.58,
3/28/2019,7:45,9,5.08,
3/28/2019,7:45,9,5.83,
3/28/2019,7:45,9,6.25,
3/28/2019,11:45,9,4.17,
3/28/2019,11:45,8.7,4.58,
3/28/2019,11:45,8.8,4.33,
3/28/2019,13:45,8.7,4.25,
3/28/2019,15:45,9,5.17,
3/28/2019,15:45,8.6,3.58,
3/28/2019,17:45,8.9,4.75,
3/28/2019,17:45,9.1,4.42,
3/28/2019,19:45,8.4,3.75,
3/23/2019,23:45,9.3,5.25,
3/23/2019,23:45,9,4.67,
3/24/2019,1:45,9.4,5.92,
3/24/2019,3:45,9.2,5.33,
3/24/2019,7:45,8.8,4.92,
3/24/2019,7:45,8.5,5.58,
3/24/2019,7:45,8.7,5.08,
3/24/2019,9:45,9,3.58,
3/24/2019,11:45,9.1,4.33,
3/24/2019,11:45,8.8,5.25,
3/24/2019,13:45,8.5,3.92,
3/24/2019,13:45,8.4,3.92,
3/24/2019,13:45,9,4.08,
3/24/2019,17:45,8.9,3.42,
3/24/2019,17:45,8.8,3.5,
3/24/2019,17:45,8.7,3.25,
3/24/2019,19:45,9,3.67,
3/24/2019,21:45,8.7,4.83,
3/24/2019,21:45,8.8,5.17,
3/24/2019,21:45,8.6,5.17,
3/24/2019,23:45,8.6,4.5,
3/24/2019,23:45,9,4.83,
3/24/2019,23:45,8.9,4,
3/25/2019,1:45,8.6,5.25,
3/25/2019,1:45,8.5,4.75,
3/25/2019,3:45,8.8,3.83,
3/25/2019,3:45,8.9,4.58,
3/25/2019,7:45,8.5,3.5,
3/25/2019,7:45,8.8,3.33,
3/25/2019,7:45,8.7,3.67,
3/25/2019,13:45,8.8,3.75,
3/25/2019,15:45,8.6,4.92,
3/25/2019,19:45,9.1,5,
3/25/2019,19:45,9.1,4.58,
3/25/2019,21:45,9.1,4.33,
3/25/2019,21:45,9.1,4.75,
3/26/2019,1:45,8.8,4.92,
3/26/2019,3:45,9.2,4,
3/26/2019,3:45,8.8,5.25,
3/26/2019,5:45,8.73,5.42,
3/26/2019,7:45,9.1,4.58,
3/26/2019,7:45,9.2,3.92,
3/26/2019,7:45,9,3.67,
3/26/2019,13:45,9.2,4.25,
3/28/2019,19:45,8.9,3.5,
3/28/2019,21:45,8.7,3.67,
3/28/2019,21:45,8.8,4,
3/28/2019,23:45,8.8,5.17,
3/28/2019,23:45,8.7,4.92,
3/28/2019,23:45,8.6,4.92,
3/29/2019,3:45,8.9,5.17,
3/29/2019,3:45,8.7,5.08,
3/29/2019,5:45,8.9,5.58,
3/29/2019,5:45,9.1,5.5,
3/29/2019,5:45,9.1,5.42,
3/29/2019,7:45,8.5,5.92,
3/29/2019,7:45,8.7,6.08,
3/29/2019,7:45,8.5,5.92,
3/29/2019,9:45,8.9,4.75,
3/29/2019,9:45,8.8,5.83,
3/29/2019,11:45,8.6,3.67,
3/29/2019,11:45,8.7,4.58,
3/29/2019,15:45,8.7,5,
3/29/2019,15:45,8.7,5.42,
3/29/2019,17:45,8.7,4,
3/29/2019,17:45,8.7,4.25,
3/29/2019,19:45,9,5.17,
3/29/2019,19:45,9,5,
3/29/2019,21:45,9,4.67,
3/29/2019,21:45,8.9,4.67,
3/29/2019,21:45,9,4.83,
3/30/2019,1:45,8.8,3.83,
3/30/2019,3:45,8.8,6.17,
3/30/2019,3:45,8.8,5.25,
3/30/2019,5:45,9.1,5.08,
3/30/2019,5:45,8.9,4.42,
3/30/2019,5:45,9.1,4.75,
3/30/2019,7:45,8.8,5.17,
3/30/2019,9:45,9,6.42,
3/30/2019,9:45,9.1,5.83,
3/30/2019,11:45,8.5,4.25,
3/30/2019,11:45,8.8,4.25,
3/30/2019,11:45,9.1,5.17,
3/30/2019,13:45,9,4.17,
3/30/2019,15:45,9.2,3.58,
3/30/2019,15:45,9.2,3.92,
3/30/2019,15:45,9.1,4.83,
3/23/2019,7:45,8.8,4.08,
3/23/2019,7:45,8.8,4.25,
3/23/2019,7:45,8.5,4,
3/23/2019,9:45,8.7,4.08,
3/23/2019,11:45,9.3,4.5,
3/23/2019,11:45,9.3,3.67,
3/23/2019,11:45,9.2,3.75,
3/23/2019,13:45,9,4.92,
3/23/2019,16:10,8.8,7.75,
3/23/2019,16:10,8.9,5.92,
3/23/2019,17:45,8.8,5.17,
3/23/2019,19:45,8.9,3.67,
3/23/2019,21:45,8.8,5.25,
3/23/2019,21:45,8.7,5.08,
3/23/2019,23:45,9.3,5.5,
3/23/2019,23:45,9.2,5.58,
3/23/2019,23:45,9.1,5.75,
3/24/2019,1:45,9.2,4.83,
3/24/2019,1:45,9.2,5.58,
3/24/2019,5:45,9.1,4.92,
3/24/2019,7:45,8.8,5.08,
3/24/2019,7:45,8.5,3.67,
3/24/2019,9:45,9,4.42,
3/24/2019,11:45,8.9,4.67,
3/24/2019,11:45,8.9,4.58,
3/24/2019,11:45,8.8,4.5,
3/24/2019,13:45,8.8,4.42,
3/24/2019,15:45,8.9,5.5,
3/24/2019,15:45,8.7,4.83,
3/24/2019,17:45,8.7,2.92,
3/24/2019,17:45,8.7,3.75,
3/24/2019,19:45,9,4.25,
3/24/2019,19:45,9.1,4.33,
3/25/2019,1:45,9.1,4.5,
3/25/2019,3:45,8.8,3.92,
3/25/2019,3:45,9,4,
3/25/2019,3:45,8.9,3.33,
3/25/2019,5:45,8.7,6.33,
3/25/2019,5:45,8.8,5.83,
3/25/2019,5:45,8.8,5.5,
3/25/2019,7:45,8.7,3.83,
3/25/2019,7:45,8.5,3.75,
3/25/2019,13:45,9.1,4.08,
3/25/2019,13:45,9,3.83,
3/21/2019,1:45,9.3,4.08,
3/21/2019,1:45,9.2,4.58,
3/21/2019,3:45,9.2,5,
3/21/2019,3:45,9.2,4.83,
3/21/2019,5:45,9.6,3.67,
3/21/2019,5:45,9.7,5.58,
3/21/2019,7:45,8.9,3.67,
3/21/2019,7:45,8.9,3.5,
3/21/2019,9:45,8.7,2.92,
3/21/2019,9:45,8.9,3.25,
3/21/2019,9:45,8.8,3,
3/21/2019,11:45,8.9,3.17,
3/21/2019,11:45,8.9,2.75,
3/21/2019,11:45,9.4,2.75,
3/21/2019,15:45,9.1,3.17,
3/21/2019,17:45,9.1,3.58,
3/21/2019,17:45,9.4,3.5,
3/21/2019,21:45,9,3.5,
3/21/2019,21:45,9.1,3.17,
3/21/2019,21:45,9.2,3.67,
3/21/2019,23:45,9.2,4.5,
3/21/2019,23:45,9.2,4.92,
3/22/2019,3:45,8.8,5.17,
3/22/2019,5:45,9.2,4.42,
3/22/2019,5:45,9.2,4.67,
3/22/2019,7:45,9.1,2.83,
3/22/2019,9:30,9.1,3.5,
3/22/2019,9:30,9,3.75,
3/22/2019,11:45,9.2,5.08,
3/22/2019,11:45,9.1,6.33,
3/22/2019,13:45,8.8,4.42,
3/22/2019,13:45,9.2,4.75,
3/22/2019,13:45,8.8,5.17,
3/22/2019,13:45,8.8,4.83,
3/22/2019,19:45,8.9,3.83,
3/22/2019,19:45,9,3.67,
3/22/2019,21:45,9.1,6.25,
3/22/2019,21:45,9.1,6,
3/22/2019,21:45,9.4,6.33,
3/22/2019,23:45,9.4,5,
3/22/2019,23:45,9.1,3.42,
3/23/2019,1:45,9.2,3.17,
3/23/2019,1:45,9,3.67,
3/23/2019,3:45,9.1,3.08,
3/26/2019,15:45,8.6,6.92,
3/26/2019,15:45,8.8,5.58,
3/26/2019,15:45,8.6,5.75,
3/26/2019,21:45,9.6,6.83,
3/26/2019,21:45,9.5,7.58,
3/26/2019,23:45,8.8,4.75,
3/26/2019,23:45,9,4.33,
3/27/2019,1:45,9.2,5.67,
3/27/2019,1:45,9,6.75,
3/27/2019,1:45,8.9,6.42,
3/27/2019,3:45,8.8,5.83,
3/27/2019,3:45,9,5.25,
3/27/2019,7:45,8.9,4.67,
3/27/2019,7:45,8.7,5.08,
3/27/2019,7:45,8.8,4.5,
3/27/2019,9:45,8.5,3.67,
3/27/2019,11:45,9,4,
3/27/2019,11:45,9,3.33,
3/27/2019,11:45,9.2,4.17,
3/27/2019,13:40,9.1,2.75,
3/27/2019,13:40,8.8,3.75,
3/27/2019,17:45,9.1,4.33,
3/27/2019,21:45,9.1,3.92,
3/27/2019,23:35,8.8,3.58,
3/28/2019,1:45,8.7,6.58,
3/28/2019,1:45,8.5,6,
3/28/2019,1:45,8.7,6.25,
3/28/2019,1:45,8.6,5.83,
3/28/2019,3:45,8.9,6.42,
3/28/2019,3:45,9.2,5.83,
3/28/2019,5:45,9,5.33,
3/28/2019,5:45,8.9,5.17,
3/28/2019,5:45,8.9,4.75,
3/28/2019,7:45,9.1,6.08,
3/28/2019,7:45,8.9,6.33,
3/28/2019,11:45,8.8,4.83,
3/28/2019,11:45,8.7,4.17,
3/28/2019,13:45,8.9,5.75,
3/28/2019,15:45,8.6,2.92,
3/28/2019,15:45,8.8,3.5,
3/28/2019,15:45,9,3.67,
3/28/2019,17:45,8.8,4.83,
3/28/2019,17:45,8.6,3.17,
3/28/2019,17:45,8.6,4.67,
3/30/2019,17:45,9,4.92,
3/30/2019,17:45,9.1,4.83,
3/30/2019,19:45,8.6,3.33,
3/30/2019,19:45,8.5,3.67,
3/30/2019,21:45,9,5.5,
3/30/2019,21:45,8.7,5.83,
3/30/2019,21:45,8.9,3.33,
3/30/2019,23:45,8.8,3.83,
3/30/2019,23:45,8.9,3.67,
3/30/2019,23:45,8.8,3.67,
3/31/2019,3:45,9,4.33,
3/31/2019,3:45,9,4.83,
3/31/2019,5:45,9,4.92,
3/31/2019,5:45,8.8,4.25,
3/31/2019,5:45,8.7,4.17,
3/31/2019,7:45,8.8,4.17,
3/31/2019,7:45,9,4.75,
3/31/2019,7:45,8.7,5.17,
3/31/2019,9:45,8.8,6.17,
3/31/2019,9:45,8.7,5,
3/31/2019,13:45,9,4.83,
3/31/2019,21:45,8.5,4,
3/31/2019,21:45,8.5,4.17,
3/31/2019,23:45,9.1,5.17,
3/31/2019,23:45,9.1,5.08,
4/1/2019,1:45,9.2,4.83,
4/1/2019,1:45,9.1,6,
4/1/2019,3:45,9,4.42,
4/1/2019,3:45,9.2,4.92,
4/1/2019,3:45,8.9,4.25,
4/1/2019,5:45,8.9,4.58,
4/1/2019,7:45,8.8,5.5,
4/1/2019,9:45,8.9,5.5,
4/1/2019,9:45,8.6,4.75,
4/1/2019,9:45,8.6,4.83,
4/1/2019,13:45,8.9,4.58,
4/1/2019,15:45,8.8,4.5,
4/1/2019,15:45,8.8,5.42,
4/1/2019,15:45,9,4.92,
4/1/2019,17:45,8.6,5.17,
4/1/2019,23:45,8.8,4.08,
4/2/2019,1:45,9.4,4.67,
4/2/2019,1:45,9.4,5.42,
3/25/2019,15:45,,,
3/25/2019,17:45,8.5,3.42,
3/25/2019,19:45,9,5.08,
3/25/2019,21:45,9,5.42,
3/25/2019,21:45,9,4.92,
3/25/2019,21:45,9.1,4.17,
3/25/2019,23:45,8.6,4,
3/25/2019,23:45,8.6,3.5,
3/25/2019,23:45,8.7,4.17,
3/26/2019,1:45,8.9,4.92,
3/26/2019,3:45,9.4,4.25,
3/26/2019,5:45,9.1,5.33,
3/26/2019,5:45,9.1,5.92,
3/26/2019,7:45,9.2,3.25,
3/26/2019,7:45,9,4,
3/26/2019,9:45,9.2,4.67,
3/26/2019,15:45,8.9,4.67,
3/26/2019,15:45,8.6,4.25,
3/26/2019,17:45,8.9,6,
3/26/2019,17:45,9.1,5.42,
3/26/2019,17:45,8.9,5.25,
3/26/2019,19:45,8.7,6.5,
3/26/2019,19:45,9.2,6.58,
3/26/2019,19:45,9,5.83,
3/26/2019,23:45,9.1,4.58,
3/27/2019,1:45,8.9,6,
3/27/2019,1:45,8.7,6.5,
3/27/2019,3:45,9.1,7.08,
3/27/2019,3:45,9.8,7.25,
3/27/2019,3:45,9,6.42,
3/27/2019,5:45,9.1,6,
3/27/2019,5:45,8.9,6.08,
3/27/2019,9:45,9.6,3.33,
3/27/2019,9:45,8.8,3.25,
3/27/2019,13:40,8.7,3.33,
3/27/2019,15:45,8.9,3,
3/27/2019,15:45,8.8,3.17,
3/27/2019,15:45,8.5,3.75,
3/27/2019,17:45,8.6,3.25,
3/27/2019,17:45,8.7,3.17,
3/27/2019,19:45,8.8,4.58,
3/27/2019,19:45,8.9,4.33,
3/27/2019,19:45,8.7,3.5,
3/27/2019,23:35,8.6,4.83,
3/23/2019,5:45,9.3,6.5,
3/23/2019,5:45,9.1,5.67,
3/23/2019,5:45,9.1,4.58,
3/23/2019,7:45,9.1,4.33,
3/23/2019,9:45,8.8,4.25,
3/23/2019,11:45,9.5,3.58,
3/23/2019,17:45,8.9,5.92,
3/23/2019,17:45,8.9,5.17,
3/23/2019,19:45,8.8,3.58,
3/23/2019,19:45,8.7,4,
3/23/2019,21:45,9,5.17,
3/23/2019,23:45,9.2,5.25,
3/24/2019,1:45,9.2,5,
3/24/2019,1:45,9.2,5.58,
3/24/2019,1:45,9.2,5.25,
3/24/2019,3:45,9.2,5.33,
3/24/2019,3:45,9.3,5.17,
3/24/2019,3:45,9.1,5,
3/24/2019,5:45,8.9,4.67,
3/24/2019,5:45,9.1,4.25,
3/24/2019,7:45,9,5.17,
3/24/2019,9:45,9.1,4.92,
3/24/2019,9:45,9.1,4.67,
3/24/2019,11:45,9,5.75,
3/24/2019,15:45,8.6,5.17,
3/24/2019,15:45,8.7,4.75,
3/24/2019,15:45,8.8,4.67,
3/24/2019,17:45,8.7,3.5,
3/24/2019,19:45,8.9,5.83,
3/24/2019,19:45,8.9,4.75,
3/24/2019,19:45,8.7,5.75,
3/24/2019,21:45,9,4.92,
3/24/2019,23:45,8.8,4.92,
3/25/2019,5:45,8.9,6,
3/25/2019,5:45,8.7,6.17,
3/25/2019,13:45,9.2,3.58,
3/25/2019,17:45,8.5,3.17,
3/25/2019,17:45,8.6,4.08,
3/25/2019,21:45,8.9,4.17,
3/25/2019,23:45,8.3,4.42,
3/25/2019,23:45,8.7,4.67,
3/26/2019,1:45,9,4.92,
3/26/2019,1:45,8.9,4.08,
3/26/2019,5:45,9,6.08,
3/28/2019,19:45,8.9,3.08,
3/28/2019,21:45,8.8,3.83,
3/28/2019,21:45,8.8,3.75,
3/28/2019,21:45,9.3,3.5,
3/29/2019,1:45,9.1,4.42,
3/29/2019,1:45,9,3.67,
3/29/2019,1:45,8.9,3.58,
3/29/2019,3:45,8.8,5.5,
3/29/2019,3:45,8.6,4.92,
3/29/2019,5:45,9,5.25,
3/29/2019,5:45,8.9,6.08,
3/29/2019,9:45,8.9,6.33,
3/29/2019,9:45,8.9,5.58,
3/29/2019,9:45,8.6,5.75,
3/29/2019,11:45,8.6,3.67,
3/29/2019,11:45,8.7,4.42,
3/29/2019,11:45,8.9,4.58,
3/29/2019,13:45,8.7,4.75,
3/29/2019,13:45,8.5,4.67,
3/29/2019,15:45,8.6,5.67,
3/29/2019,15:45,8.9,4.67,
3/29/2019,15:45,8.7,5.17,
3/29/2019,17:45,9,4.67,
3/29/2019,17:45,8.8,4,
3/29/2019,17:45,9,3.75,
3/29/2019,19:45,9.1,5.67,
3/29/2019,19:45,9,5.42,
3/29/2019,19:45,9.1,4.92,
3/29/2019,21:45,9,4.17,
3/29/2019,21:45,8.9,4.5,
3/29/2019,23:45,8.6,3.67,
3/29/2019,23:45,8.8,4.08,
3/29/2019,23:45,9,4.08,
3/30/2019,1:45,9.2,4.42,
3/30/2019,1:45,8.9,4,
3/30/2019,3:45,8.9,4.92,
3/30/2019,3:45,9,4.33,
3/30/2019,3:45,9.1,4.58,
3/30/2019,5:45,8.9,4.5,
3/30/2019,5:45,8.9,4.42,
3/30/2019,9:45,8.8,5.33,
3/30/2019,9:45,8.9,5.25,
3/30/2019,9:45,9.1,5.33,
3/30/2019,13:45,8.9,4.5,
4/2/2019,3:45,9,6.08,
4/2/2019,3:45,9.3,6.92,
4/2/2019,7:45,9,4.5,
4/2/2019,9:45,8.5,4.42,
4/2/2019,9:45,8.9,3.83,
4/2/2019,9:45,8.8,4.33,
4/2/2019,11:45,8.7,3.67,
4/2/2019,13:45,8.8,3.42,
4/2/2019,13:45,8.9,4.5,
4/2/2019,13:45,8.8,3.67,
4/2/2019,17:45,8.8,4.17,
4/2/2019,19:45,9.3,5.58,
4/2/2019,21:45,9.5,4.92,
4/2/2019,21:45,9.5,5.17,
4/2/2019,21:45,9.3,4.83,
4/2/2019,23:45,8.6,4.25,
4/2/2019,23:45,8.4,4.33,
4/2/2019,23:45,8.7,4.33,
4/3/2019,1:45,8.5,4.17,
4/3/2019,3:45,8.9,4.83,
4/3/2019,5:45,9.1,6.33,
4/3/2019,5:45,8.9,5.5,
4/3/2019,5:45,8.9,5.58,
4/3/2019,7:45,8.9,4.67,
4/3/2019,7:45,9.4,4.42,
4/3/2019,7:45,9.2,4.58,
4/3/2019,9:45,9,4.42,
4/3/2019,11:45,9.3,4.5,
4/3/2019,11:45,9.2,4.5,
4/3/2019,11:45,9,4.5,
4/3/2019,13:45,9.1,3.67,
4/3/2019,13:45,9,3.25,
4/3/2019,15:45,9,4.67,
4/3/2019,17:45,9.3,5.33,
4/3/2019,17:45,9.2,5.25,
4/3/2019,17:45,9.8,4.92,
4/3/2019,19:45,9,4.5,
4/3/2019,19:45,9.1,4.75,
4/3/2019,19:45,8.6,4.25,
4/3/2019,21:45,8.5,4.92,
4/3/2019,23:45,9,4.17,
4/3/2019,23:45,8.9,4.17,
4/3/2019,23:45,9,4.5,
3/27/2019,23:35,8.5,4.67,
3/28/2019,1:45,8.6,6.92,
3/28/2019,3:45,8.9,6.5,
3/28/2019,3:45,8.9,6.42,
3/28/2019,3:45,8.7,5.25,
3/28/2019,13:45,8.6,4.33,
3/28/2019,13:45,8.6,4.83,
3/28/2019,21:45,9.1,3.67,
3/28/2019,23:45,9,5.58,
3/29/2019,1:45,9.1,3.42,
3/29/2019,1:45,8.7,3.83,
3/29/2019,3:45,8.7,4.17,
3/29/2019,7:45,8.8,6.5,
3/29/2019,9:45,8.7,6.25,
3/29/2019,11:45,8.7,3,
3/29/2019,13:45,8.5,4.17,
3/29/2019,13:45,8.5,4.92,
3/29/2019,13:45,8.5,4.42,
3/29/2019,21:45,9,4.17,
3/29/2019,23:45,8.7,4.17,
3/29/2019,23:45,8.5,4.25,
3/30/2019,1:45,9,3.5,
3/30/2019,1:45,8.9,3.17,
3/30/2019,1:45,9.1,3.75,
3/30/2019,3:45,8.7,4.67,
3/30/2019,5:45,9.1,5.5,
3/30/2019,7:45,9.1,5.58,
3/30/2019,7:45,8.7,4.75,
3/30/2019,11:45,8.7,4.25,
3/30/2019,13:45,8.8,4.33,
3/30/2019,13:45,8.4,4.25,
3/30/2019,21:45,9,4,
3/30/2019,23:45,8.8,4.17,
3/31/2019,1:45,8.8,3.92,
3/31/2019,1:45,8.9,5.08,
3/31/2019,3:45,8.7,4.33,
3/31/2019,5:45,9,4.5,
3/31/2019,7:45,9,5.17,
3/31/2019,11:45,9,6.42,
3/31/2019,11:45,9.1,5.25,
3/31/2019,13:45,8.9,4.5,
3/31/2019,13:45,9.1,4.42,
3/31/2019,15:45,8.8,3.83,
3/30/2019,15:45,9.1,3.83,
3/30/2019,17:45,9,4.75,
3/30/2019,19:45,8.7,3.33,
3/30/2019,19:45,8.6,3.25,
3/30/2019,19:45,8.6,3.17,
3/31/2019,1:45,9,3.92,
3/31/2019,1:45,8.8,4.67,
3/31/2019,1:45,8.8,4.75,
3/31/2019,3:45,8.8,4.5,
3/31/2019,3:45,8.8,4.83,
3/31/2019,3:45,8.9,4.17,
3/31/2019,5:45,9.3,4.42,
3/31/2019,5:45,9.2,3.83,
3/31/2019,7:45,8.8,4.92,
3/31/2019,7:45,8.9,5.75,
